,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,post_release_bugs,pre_release_bugs,authors,churn_metric,change_metric
2846,1,1,1,1,35,5,30,16,1,0,0,1,1,1,0,1,0,0,0,1,64,9,38,14,16,33,17,19,13,6,1,1,1,1,0,0.87,1,1,1,1,0,0,5,1,1
2847,1,1,1,1,8,0,6,0,2,1,1,24,24,23,4,24,0,1,0,23,316,52,238,128,113,33,141,169,92,77,2,2,3,1,1,0.14,26,26,27,24,0,1,8,5,4
2848,1,1,1,1,11,0,10,0,2,0,0,2,2,2,0,2,0,0,0,2,50,6,27,16,12,18,17,20,15,5,1,1,1,1,0,0.67,2,2,2,2,2,2,6,6,3
2849,1,1,1,1,20,1,17,1,4,4,3,23,23,19,3,23,8,0,0,15,571,59,458,195,316,55,281,331,166,165,4,4,4,1,3,0.12,43,43,43,23,13,7,61,1,59
2850,1,1,1,1,7,0,3,4,1,1,0,4,4,3,0,4,0,0,2,2,72,6,29,19,5,37,11,16,12,4,1,1,1,1,0,1.28,4,4,4,4,0,1,6,1,6
2851,2,2,2,1,32,4,27,0,2,0,3,6,6,6,0,6,0,0,0,6,247,35,191,71,132,23,124,145,65,80,3,3,3,1,1,0.12,13,13,13,6,0,7,11,2,11
2852,1,1,1,1,9,0,3,6,1,0,0,1,1,1,0,1,0,0,1,0,36,2,8,5,1,26,3,5,4,1,1,1,1,1,0,3.25,1,1,1,1,0,0,2,5,2
2853,1,1,1,1,10,0,10,1,2,2,8,12,12,10,0,12,0,2,0,10,197,20,159,69,93,28,90,114,59,55,3,3,3,1,1,0.18,23,23,23,12,1,1,3,2,3
2854,2,2,2,1,39,4,32,4,1,0,2,12,12,12,2,12,0,0,2,10,566,70,437,165,319,72,306,341,155,186,5,5,5,1,2,0.16,29,29,29,12,4,13,36,1,34
2855,2,2,2,1,18,0,12,5,3,0,5,15,15,15,6,15,0,3,0,12,332,24,211,74,122,99,121,151,65,86,5,5,6,4,3,0.47,31,31,32,18,3,1,12,1,12
